length error percent_edge percent_planar mean_edge mean_planar
1000 29.364346713788198 0.0 0.0 0.0 0.0
1000 9.89291795190522 0.0 0.1 0.0 743.861
1000 7.163788335007356 0.0 0.2 0.0 1488.205
1000 6.361364632410892 0.0 0.3 0.0 2232.461
1000 5.853648275598925 0.0 0.4 0.0 2976.817
1000 3.7479107014780264 0.0 0.5 0.0 3721.271
1000 3.139366095537289 0.0 0.6 0.0 4465.411
1000 2.51148621853766 0.0 0.7 0.0 5209.684
1000 2.00927713542916 0.0 0.8 0.0 5954.023
1000 1.6757105509183559 0.0 0.9 0.0 6698.284
1000 1.3807771731547467 0.0 1.0 0.0 7443.05
1000 29.364346713788198 0.1 0.0 57.788 0.0
1000 4.3035254229640065 0.1 0.1 57.788 743.861
1000 6.575410536997805 0.1 0.2 57.788 1488.205
1000 7.055995569415265 0.1 0.3 57.788 2232.461
1000 6.096595373039458 0.1 0.4 57.788 2976.817
1000 4.537558234480823 0.1 0.5 57.788 3721.271
1000 3.873753746169558 0.1 0.6 57.788 4465.411
1000 2.755652263829833 0.1 0.7 57.788 5209.684
1000 2.184672012015193 0.1 0.8 57.788 5954.023
1000 1.6997421064934308 0.1 0.9 57.788 6698.284
1000 1.3991107394656213 0.1 1.0 57.788 7443.05
1000 27.958694546197602 0.2 0.0 116.115 0.0
1000 5.500195755129786 0.2 0.1 116.115 743.861
1000 6.188505471016963 0.2 0.2 116.115 1488.205
1000 6.411417775950977 0.2 0.3 116.115 2232.461
1000 5.234754214844087 0.2 0.4 116.115 2976.817
1000 3.999043069609781 0.2 0.5 116.115 3721.271
1000 3.080037105322455 0.2 0.6 116.115 4465.411
1000 3.0418040024823587 0.2 0.7 116.115 5209.684
1000 2.189039297906269 0.2 0.8 116.115 5954.023
1000 1.596304853851346 0.2 0.9 116.115 6698.284
1000 1.4465607236681368 0.2 1.0 116.115 7443.05
1000 22.302996945184844 0.3 0.0 174.324 0.0
1000 3.4953470478780364 0.3 0.1 174.324 743.861
1000 7.000062744263239 0.3 0.2 174.324 1488.205
1000 5.8358112481071185 0.3 0.3 174.324 2232.461
1000 4.176465678267863 0.3 0.4 174.324 2976.817
1000 3.5085711954018195 0.3 0.5 174.324 3721.271
1000 3.4438726705959417 0.3 0.6 174.324 4465.411
1000 2.569916525564367 0.3 0.7 174.324 5209.684
1000 1.9178927666760752 0.3 0.8 174.324 5954.023
1000 1.7916639954435345 0.3 0.9 174.324 6698.284
1000 1.5601806399409512 0.3 1.0 174.324 7443.05
1000 18.720968935355348 0.4 0.0 232.622 0.0
1000 3.055170896868233 0.4 0.1 232.622 743.861
1000 5.602479116014155 0.4 0.2 232.622 1488.205
1000 4.152452347706746 0.4 0.3 232.622 2232.461
1000 4.571433269761613 0.4 0.4 232.622 2976.817
1000 3.111611617388306 0.4 0.5 232.622 3721.271
1000 3.3336410299903405 0.4 0.6 232.622 4465.411
1000 2.184286574077911 0.4 0.7 232.622 5209.684
1000 2.196136773428999 0.4 0.8 232.622 5954.023
1000 1.8709598808824965 0.4 0.9 232.622 6698.284
1000 1.7081783710729859 0.4 1.0 232.622 7443.05
1000 13.466122732772208 0.5 0.0 291.031 0.0
1000 4.088744682549402 0.5 0.1 291.031 743.861
1000 4.145379498614746 0.5 0.2 291.031 1488.205
1000 3.820261379317959 0.5 0.3 291.031 2232.461
1000 5.029149627872902 0.5 0.4 291.031 2976.817
1000 3.6755733072562444 0.5 0.5 291.031 3721.271
1000 2.619336587843139 0.5 0.6 291.031 4465.411
1000 2.5796220821686147 0.5 0.7 291.031 5209.684
1000 2.0549621633052726 0.5 0.8 291.031 5954.023
1000 1.8874810260628798 0.5 0.9 291.031 6698.284
1000 1.8200784243354555 0.5 1.0 291.031 7443.05
1000 12.298567949722585 0.6 0.0 349.128 0.0
1000 3.3868845444055604 0.6 0.1 349.128 743.861
1000 3.7886826453130267 0.6 0.2 349.128 1488.205
1000 3.981649809424821 0.6 0.3 349.128 2232.461
1000 4.3981024300175635 0.6 0.4 349.128 2976.817
