length error percent_edge percent_planar mean_edge mean_planar
500 5.467729933233869 0.0 0.0 0.0 0.0
500 2.541836393759549 0.0 0.1 0.0 637.854
500 2.424463808635756 0.0 0.2 0.0 1276.182
500 2.0798666256216385 0.0 0.3 0.0 1914.42
500 2.0708725469472355 0.0 0.4 0.0 2552.77
500 1.3398129590968302 0.0 0.5 0.0 3191.222
500 1.093657676228032 0.0 0.6 0.0 3829.34
500 0.9458578905729753 0.0 0.7 0.0 4467.62
500 0.8157108413301295 0.0 0.8 0.0 5105.928
500 0.7152203952912927 0.0 0.9 0.0 5744.186
500 0.666647824335735 0.0 1.0 0.0 6382.93
500 5.467729933233869 0.1 0.0 51.238 0.0
500 1.7686039941225287 0.1 0.1 51.238 637.854
500 1.7300322462002957 0.1 0.2 51.238 1276.182
500 1.841087467594265 0.1 0.3 51.238 1914.42
500 1.7487820577029844 0.1 0.4 51.238 2552.77
500 1.4273766246937387 0.1 0.5 51.238 3191.222
500 1.1265435046448047 0.1 0.6 51.238 3829.34
500 0.9757989751336849 0.1 0.7 51.238 4467.62
500 0.8706168492922729 0.1 0.8 51.238 5105.928
500 0.7019830455466893 0.1 0.9 51.238 5744.186
500 0.6657831459999797 0.1 1.0 51.238 6382.93
500 5.465948199105635 0.2 0.0 102.988 0.0
500 1.6273240712737695 0.2 0.1 102.988 637.854
500 1.7298868982429279 0.2 0.2 102.988 1276.182
500 2.1368394171643383 0.2 0.3 102.988 1914.42
500 1.5555853547731937 0.2 0.4 102.988 2552.77
500 1.5681060712025963 0.2 0.5 102.988 3191.222
500 1.210930245638868 0.2 0.6 102.988 3829.34
500 0.9611041257685398 0.2 0.7 102.988 4467.62
500 0.7357496674016826 0.2 0.8 102.988 5105.928
500 0.7685120422517512 0.2 0.9 102.988 5744.186
500 0.6587864003511593 0.2 1.0 102.988 6382.93
500 5.4029979409395 0.3 0.0 154.644 0.0
500 1.6112040204053866 0.3 0.1 154.644 637.854
500 1.215219349006334 0.3 0.2 154.644 1276.182
500 1.7048845049451942 0.3 0.3 154.644 1914.42
500 1.5640443838001037 0.3 0.4 154.644 2552.77
500 1.1380249972185819 0.3 0.5 154.644 3191.222
500 1.0597983256410757 0.3 0.6 154.644 3829.34
500 0.9164243354421086 0.3 0.7 154.644 4467.62
500 0.747303700134436 0.3 0.8 154.644 5105.928
500 0.6874880218628123 0.3 0.9 154.644 5744.186
500 0.6415141589359017 0.3 1.0 154.644 6382.93
500 3.785774270852923 0.4 0.0 206.36 0.0
500 1.0831991836640706 0.4 0.1 206.36 637.854
500 1.4146326719550983 0.4 0.2 206.36 1276.182
500 1.06190052501926 0.4 0.3 206.36 1914.42
500 1.140349604137639 0.4 0.4 206.36 2552.77
500 1.1028087430344242 0.4 0.5 206.36 3191.222
500 0.8219738279580352 0.4 0.6 206.36 3829.34
500 0.7683520167516402 0.4 0.7 206.36 4467.62
500 0.6742076428305346 0.4 0.8 206.36 5105.928
500 0.701495026426751 0.4 0.9 206.36 5744.186
500 0.6100118407504833 0.4 1.0 206.36 6382.93
500 2.636084976712297 0.5 0.0 258.226 0.0
500 1.1740227983556606 0.5 0.1 258.226 637.854
500 1.0792936468288685 0.5 0.2 258.226 1276.182
500 1.206701289537325 0.5 0.3 258.226 1914.42
500 1.0705587500908966 0.5 0.4 258.226 2552.77
500 1.0656083699703098 0.5 0.5 258.226 3191.222
500 0.727962249982824 0.5 0.6 258.226 3829.34
500 0.8451571354267478 0.5 0.7 258.226 4467.62
500 0.6635152201748439 0.5 0.8 258.226 5105.928
500 0.7055338037103721 0.5 0.9 258.226 5744.186
500 0.6411903847868223 0.5 1.0 258.226 6382.93
500 2.96026642239099 0.6 0.0 309.742 0.0
500 0.9301721587690985 0.6 0.1 309.742 637.854
500 0.9819532536619684 0.6 0.2 309.742 1276.182
500 0.9871890336755671 0.6 0.3 309.742 1914.42
500 0.7841334353897051 0.6 0.4 309.742 2552.77
500 0.7495275768882509 0.6 0.5 309.742 3191.222
500 0.8135166380633263 0.6 0.6 309.742 3829.34
500 0.6332675161974521 0.6 0.7 309.742 4467.62
500 0.6842147336232509 0.6 0.8 309.742 5105.928
500 0.6682795751677768 0.6 0.9 309.742 5744.186
500 0.5527984250404389 0.6 1.0 309.742 6382.93
500 3.663062589392682 0.7 0.0 361.326 0.0
500 0.8824791532817831 0.7 0.1 361.326 637.854
500 0.7703695148115647 0.7 0.2 361.326 1276.182
500 0.5005445033715329 0.7 0.3 361.326 1914.42
500 0.752665439487919 0.7 0.4 361.326 2552.77
500 0.7179554336856488 0.7 0.5 361.326 3191.222
500 0.7171125022376278 0.7 0.6 361.326 3829.34
500 0.667018686853996 0.7 0.7 361.326 4467.62
500 0.5307025202182292 0.7 0.8 361.326 5105.928
500 0.5509182520853202 0.7 0.9 361.326 5744.186
500 0.6190405515070948 0.7 1.0 361.326 6382.93
500 2.492318262319866 0.8 0.0 413.114 0.0
500 0.8610070898732118 0.8 0.1 413.114 637.854
500 0.5078849989923283 0.8 0.2 413.114 1276.182
500 0.5739113795621537 0.8 0.3 413.114 1914.42
500 0.6875268516584445 0.8 0.4 413.114 2552.77
500 0.6523165050231332 0.8 0.5 413.114 3191.222
500 0.6039275932393326 0.8 0.6 413.114 3829.34
500 0.5495047437676499 0.8 0.7 413.114 4467.62
500 0.5152518066684485 0.8 0.8 413.114 5105.928
500 0.5088022097411168 0.8 0.9 413.114 5744.186
500 0.5141196695415703 0.8 1.0 413.114 6382.93
