length error percent_edge percent_planar mean_edge mean_planar
5000 140.89023156375075 0.0 0.0 0.0 0.0
5000 41.593371209304365 0.0 0.1 0.0 601.2686
5000 32.93105961002466 0.0 0.2 0.0 1203.0334
5000 25.28853614281489 0.0 0.3 0.0 1804.6976
5000 23.515178021083763 0.0 0.4 0.0 2406.4732
5000 18.057484465626434 0.0 0.5 0.0 3008.3348
5000 16.48769895560353 0.0 0.6 0.0 3609.9014
5000 13.900236677269522 0.0 0.7 0.0 4211.5594
5000 14.13979048753294 0.0 0.8 0.0 4813.3412
5000 11.734138179298107 0.0 0.9 0.0 5415.0048
5000 10.98924771174603 0.0 1.0 0.0 6017.1772
5000 140.89023156375075 0.1 0.0 79.2612 0.0
5000 45.226194819412434 0.1 0.1 79.2612 601.2686
5000 31.58071740052025 0.1 0.2 79.2612 1203.0334
5000 30.375382107067683 0.1 0.3 79.2612 1804.6976
5000 23.690902729974773 0.1 0.4 79.2612 2406.4732
5000 21.014912943025866 0.1 0.5 79.2612 3008.3348
5000 17.129940057507504 0.1 0.6 79.2612 3609.9014
5000 12.822902973882202 0.1 0.7 79.2612 4211.5594
5000 14.070269224648905 0.1 0.8 79.2612 4813.3412
5000 12.878966757824923 0.1 0.9 79.2612 5415.0048
5000 11.27401028433095 0.1 1.0 79.2612 6017.1772
5000 126.8834887327694 0.2 0.0 159.0308 0.0
5000 45.12210587047695 0.2 0.1 159.0308 601.2686
5000 27.320768633312646 0.2 0.2 159.0308 1203.0334
5000 23.28256333302101 0.2 0.3 159.0308 1804.6976
5000 22.73899652481119 0.2 0.4 159.0308 2406.4732
5000 17.696274123013286 0.2 0.5 159.0308 3008.3348
5000 16.799717204250527 0.2 0.6 159.0308 3609.9014
5000 12.520919829681622 0.2 0.7 159.0308 4211.5594
5000 14.017142046047969 0.2 0.8 159.0308 4813.3412
5000 12.835368119095342 0.2 0.9 159.0308 5415.0048
5000 11.934106999972109 0.2 1.0 159.0308 6017.1772
5000 112.69369620688504 0.3 0.0 238.6994 0.0
5000 33.2659031641503 0.3 0.1 238.6994 601.2686
5000 28.136727696595422 0.3 0.2 238.6994 1203.0334
5000 27.780178845174955 0.3 0.3 238.6994 1804.6976
5000 24.177986218123078 0.3 0.4 238.6994 2406.4732
5000 19.066597753672063 0.3 0.5 238.6994 3008.3348
5000 17.090700615745824 0.3 0.6 238.6994 3609.9014
